user_id,is_gone
12,0.5555555555555556
13,1.0
15,1.0
21,1.0
35,1.0
45,0.2222222222222222
55,1.0
58,1.0
62,0.4444444444444444
74,1.0
81,0.16666666666666666
102,1.0
105,0.2222222222222222
112,0.2222222222222222
113,1.0
119,1.0
124,1.0
140,1.0
141,0.2222222222222222
150,0.3888888888888889
162,0.2222222222222222
164,0.7222222222222222
167,0.16666666666666666
177,1.0
186,1.0
195,1.0
198,1.0
200,1.0
204,1.0
207,1.0
208,1.0
212,0.6111111111111112
235,1.0
242,0.16666666666666666
248,1.0
253,1.0
260,0.2777777777777778
261,1.0
271,1.0
298,0.6666666666666666
303,1.0
324,0.2222222222222222
328,0.1111111111111111
331,0.3333333333333333
335,0.3333333333333333
341,1.0
355,0.6111111111111112
363,1.0
367,0.2777777777777778
373,0.1111111111111111
391,1.0
409,1.0
411,0.6111111111111112
417,0.16666666666666666
424,0.5555555555555556
430,1.0
448,0.0
460,0.2222222222222222
465,0.3888888888888889
467,1.0
474,1.0
486,1.0
498,1.0
530,1.0
557,0.3333333333333333
561,1.0
565,1.0
567,0.8333333333333334
570,0.2222222222222222
574,0.5555555555555556
575,0.0
578,1.0
586,1.0
593,0.3333333333333333
599,0.5555555555555556
601,1.0
602,0.3333333333333333
613,0.05555555555555555
659,0.5
664,1.0
672,0.3888888888888889
683,0.4444444444444444
693,0.4444444444444444
704,0.2222222222222222
723,0.16666666666666666
725,0.0
739,0.3333333333333333
744,0.05555555555555555
747,0.3888888888888889
754,1.0
765,1.0
770,1.0
804,1.0
837,0.3333333333333333
880,0.16666666666666666
886,1.0
898,0.5555555555555556
901,1.0
904,1.0
920,1.0
953,0.3333333333333333
960,1.0
970,1.0
972,1.0
980,1.0
988,0.16666666666666666
1003,0.5
1041,0.16666666666666666
1044,0.2222222222222222
1049,1.0
1054,0.3888888888888889
1061,1.0
1087,1.0
1092,0.2222222222222222
1100,0.3888888888888889
1134,1.0
1137,0.2777777777777778
1145,0.3333333333333333
1149,0.2777777777777778
1153,1.0
1154,0.1111111111111111
1156,0.8888888888888888
1164,1.0
1171,1.0
1187,1.0
1211,0.5
1245,0.5
1246,0.9444444444444444
1274,1.0
1302,0.7222222222222222
1313,0.3888888888888889
1314,0.0
1341,0.3333333333333333
1347,0.6111111111111112
1354,0.2222222222222222
1356,0.9444444444444444
1358,0.5
1359,1.0
1365,0.2222222222222222
1367,0.5
1375,0.1111111111111111
1384,0.0
1392,0.5
1412,0.16666666666666666
1413,0.2222222222222222
1420,0.3888888888888889
1426,1.0
1438,1.0
1441,1.0
1442,0.4444444444444444
1457,1.0
1458,0.2222222222222222
1459,1.0
1460,0.2222222222222222
1464,0.1111111111111111
1472,1.0
1488,1.0
1510,0.5
1520,1.0
1541,0.6111111111111112
1543,0.9444444444444444
1550,0.2222222222222222
1551,0.3333333333333333
1554,0.5
1556,0.2222222222222222
1563,0.5
1571,1.0
1580,0.5555555555555556
1584,1.0
1597,0.2222222222222222
1611,0.9444444444444444
1619,0.16666666666666666
1620,1.0
1623,0.16666666666666666
1630,0.2222222222222222
1636,0.0
1640,0.3333333333333333
1674,0.1111111111111111
1690,0.2222222222222222
1693,1.0
1704,0.05555555555555555
1719,0.2222222222222222
1720,0.5
1725,0.9444444444444444
1731,0.9444444444444444
1747,0.2777777777777778
1748,1.0
1751,0.8333333333333334
1767,1.0
1782,1.0
1785,0.3888888888888889
1786,0.05555555555555555
1797,0.2222222222222222
1800,0.8888888888888888
1803,0.3333333333333333
1821,0.2222222222222222
1822,0.9444444444444444
1832,0.6111111111111112
